Product,????????,????????????,????????????,First Quantity,????????????,Second Quantity,????????????,Value
15079000,??????????????????,502,????,175783,????,0,?,"441,675"
15081000,????????????,502,????,810707,????,0,?,"2,066,464"
15089000,????????????????????,502,????,103,????,0,?,"1,267"
15091000,??????????????,502,????,4154,????,0,?,"43,670"
15099000,??????????????????????,502,????,3227,????,0,?,"29,902"
15100000,??????????????????????????????????????????????????,502,????,56,????,0,?,"1,394"
15111000,????????????,502,????,418,????,0,?,"2,432"
15121100,????????????????????,502,????,173058,????,0,?,"455,710"
15121900,????????????????????????????,502,????,28332,????,0,?,"255,861"
15122900,????????????????????,502,????,184,????,0,?,"1,199"
15131100,????????????,502,????,382906,????,0,?,"1,075,209"
15131900,????????????????????,502,????,4688913,????,0,?,"11,924,980"
15132900,??????????????????????????????????????,502,????,572,????,0,?,"7,952"
15141900,????????????????????????????,502,????,72,????,0,?,324
15149110,????????????,502,????,216,????,0,?,119
15149900,????????????????????????????,502,????,218229,????,0,?,"499,116"
15151100,??????????????,502,????,8538134,????,0,?,"10,288,846"
15151900,??????????????????????,502,????,1688,????,0,?,"76,309"
15152100,????????????,502,????,546,????,0,?,"1,574"
15152900,????????????????????,502,????,53288,????,0,?,"143,234"
15153000,????????????????,502,????,34474,????,0,?,"180,449"
15155000,????????????????,502,????,127,????,0,?,"6,533"
15159010,????????????????????,502,????,13538,????,0,?,"264,665"
15159030,??????????????,502,????,284,????,0,?,"4,344"
15159090,??????????????????????????????,502,????,255229,????,0,?,"3,449,218"
15161000,????????????????????????????????????????,502,????,122189,????,0,?,"281,557"
15162000,????????????????????????????????????????,502,????,311494,????,0,?,"1,133,872"
15171000,????????????????????,502,????,151321,????,0,?,"783,709"
15179010,??????,502,????,8178,????,0,?,"6,738"
15179090,????????????????????????????????????????????????????????????1516????????????,502,????,454582,????,0,?,"14,517,140"
15180000,????????????????????????????516??????????;??????????????????,502,????,539756,????,0,?,"2,062,062"
15200000,??????;????????????????,502,????,30080783,????,0,?,"6,949,202"
15211000,??????,502,????,44081,????,0,?,"660,776"
15219010,????,502,????,65651,????,0,?,"920,437"
16010010,????????????????????????????????????????????????????????????,502,????,181,????,0,?,"5,600"
16010020,????????????????????????????????????????????,502,????,341272,????,0,?,"1,224,302"
16021000,????????,502,????,2698,????,0,?,"43,459"
16023299,??????????????????????????????,502,????,8,????,0,?,24
16024910,??????????????,502,????,21,????,0,?,187
16024990,????????????????????????????,502,????,46,????,0,?,231
16025010,??????????????,502,????,164,????,0,?,"2,261"
16025090,????????????????????????????,502,????,20,????,0,?,385
16029010,??????????????????,502,????,7,????,0,?,43
16041190,????????????????????????????????,502,????,809,????,0,?,"23,124"
16041400,????????????????????????????????????????????????????,502,????,308,????,0,?,"8,282"
16041990,????????????????????????????????,502,????,3414,????,0,?,"24,983"
16042019,??????????????????????????,502,????,17979,????,0,?,"118,953"
16042099,??????????????????????,502,????,35537,????,0,?,"293,466"
16043100,????????,502,????,60,????,0,?,625
16051000,??????????????,502,????,135596,????,0,?,"205,388"
16052900,??????????????????????????,502,????,30,????,0,?,70
16054011,????????????????????????,502,????,55569,????,0,?,"390,217"
16055100,??????????????????????,502,????,190,????,0,?,"2,794"
16056100,????????????????,502,????,65541,????,0,?,"1,827,696"
17011200,??????????????????????????,502,????,300,????,0,?,745
17011300,"??????????????????????????????2????????, ????????????????",502,????,897,????,0,?,"2,752"
17011400,"??????????, ????????????????",502,????,2384,????,0,?,"5,622"
17019100,??????????????????????????????????????????,502,????,210,????,0,?,"2,359"
17019910,????,502,????,710,????,0,?,"2,535"
17019990,????????????;??????????,502,????,22902,????,0,?,"109,018"
17021100,????????????????????????????????????99??,502,????,64473136,????,0,?,"50,596,222"
17021900,????????????????,502,????,5712005,????,0,?,"5,686,781"
17022000,????????????,502,????,5913,????,0,?,"44,487"
17023000,????????????????????????20??,502,????,88514,????,0,?,"510,709"
17024000,??????????????20??????????50??????????????,502,????,152,????,0,?,"1,510"
17025000,??????????,502,????,500166,????,0,?,"654,232"
17026000,????????????????????50??????????????,502,????,385480,????,0,?,"808,474"
17029000,??????????????????????????????????,502,????,1645908,????,0,?,"3,462,553"
17041000,????????????????????,502,????,37747,????,0,?,"95,814"
17049000,????????????????????????????,502,????,1961186,????,0,?,"10,215,633"
18031000,????????????,502,????,1779880,????,0,?,"10,880,812"
18032000,??????????????????????,502,????,42,????,0,?,"1,153"
18040000,??????????????,502,????,1861,????,0,?,"33,233"
18050000,??????????????????????????,502,????,133365,????,0,?,"1,140,473"
18061000,????????????????????????,502,????,324389,????,0,?,"1,887,956"
18062000,??????????2kg??????????????????????;??????????????????????????2kg??????????????????????,502,????,314063,????,0,?,"1,468,194"
18063100,??????????????????????????????????2kg,502,????,947468,????,0,?,"9,027,233"
18063200,????????????????????????????????????2kg,502,????,253707,????,0,?,"2,688,242"
18069000,??????????????????,502,????,3626226,????,0,?,"13,405,839"
19011010,"??????????????????????????????,??????????????????5%????????",502,????,2527117,????,0,?,"45,164,488"
19011090,"??????????????????????????????,??????????????????40%????????????????????????????????????????5%????????",502,????,2070762,????,0,?,"29,360,380"
19012000,??????1905??????????????????????????????????????????????40%??????????????????????????????????????5%????????,502,????,1749711,????,0,?,"3,735,456"
19019000,????;??????????????????????????????40%??????????????????????????????????????5%????????,502,????,2112374,????,0,?,"6,024,838"
19021100,????????????????????????????????????,502,????,360,????,0,?,"3,808"
19021900,????????????????????????????????????,502,????,469087,????,0,?,"531,275"
19022000,??????????????????????????????????????,502,????,6178,????,0,?,"40,188"
19023010,??????,502,????,12,????,0,?,42
19023030,??????????????,502,????,69800,????,0,?,"187,329"
19023090,??????????,502,????,289496,????,0,?,"668,036"
19030000,??????????????????????????????????????????????????????,502,????,120,????,0,?,"2,880"
19041000,????????????????????????????????????,502,????,3117903,????,0,?,"19,095,829"
19042000,????????????????????????????????????????,502,????,100010,????,0,?,"236,259"
19049000,??????????????????????????????????????????????????????????????????,502,????,633883,????,0,?,"2,411,038"
19053100,??????,502,????,696044,????,0,?,"4,924,726"
19053200,????????????????,502,????,12108,????,0,?,"74,148"
19054000,??????????????????????????,502,????,101124,????,0,?,"553,781"
19059000,????????????????????????????????????;??????????????????????????????,502,????,1519726,????,0,?,"19,996,614"
20011000,??????????????????????????????????,502,????,78094,????,0,?,"116,728"
20019090,????????????????????????????????????????,502,????,217114,????,0,?,"430,967"
20021010,????????,502,????,409743,????,0,?,"290,934"
20029011,????????????????5kg,502,????,1148630,????,0,?,"1,940,544"
20029019,????????????????5kg,502,????,170199,????,0,?,"189,897"
20029090,????????????????????????????????,502,????,2557851,????,0,?,"2,426,515"
20031011,??????????????????????,502,????,518,????,0,?,"2,639"
20041000,??????????????????????????????,502,????,101485013,????,0,?,"123,262,782"
20049000,??????????????????????????????????????,502,????,183260,????,0,?,"431,322"
20051000,????????,502,????,52100,????,0,?,"406,709"
20052000,????????????????????????????????,502,????,190133,????,0,?,"1,699,574"
20054000,????????????????????????????????,502,????,25323,????,0,?,"51,625"
20055119,??????????????????????,502,????,37091,????,0,?,"60,110"
20055199,????????????????????????????????????,502,????,24,????,0,?,163
20055910,????????????????????,502,????,17467,????,0,?,"33,417"
20056010,????????,502,????,230,????,0,?,"1,050"
